"label","label_wo_outliers","label_cluster2_kmeans5","label_cluster5_kmeans5","label_cluster4_kmeans5"
"PITX2","CS6","CS6","CS6","CS6","CS5"
"FANCB","CS6","CS6","CS6","CS7","CS6"
"MEGF6","CS5","CS6","CS6","CS5","CS4"
"FAH","CS6","CS6","CS4","CS6","CS5"
"PTGDS","CS5","CS5","CS5","CS4","CS5"
"SELENOP","CS5","CS5","CS5","CS5","CS6"
"OAZ1","CS5","CS4","CS4","CS6","CS2"
"GPM6B","CS5","CS5","CS5","CS6","CS5"
"COL9A3","CS5","CS4","CS4","CS4","CS7"
"SPCS2","CS0","CS0","CS0","CS0","CS0"
"TMCO3","CS3","CS3","CS4","CS5","CS3"
"CEND1","CS3","CS3","CS3","CS2","CS3"
"SPARCL1","CS4","CS4","CS4","CS4","CS5"
"MGARP","CS4","CS4","CS5","CS4","CS4"
"PRCC","CS2","CS2","CS2","CS2","CS2"
"OLFM1","CS6","CS6","CS6","CS6","CS6"
"DNAJC4","CS5","CS5","CS5","CS5","CS4"
"CHMP1B","CS7","CS5","CS5","CS5","CS6"
"NPC1","CS5","CS5","CS5","CS4","CS4"
"CCDC50","CS6","CS6","CS6","CS5","CS4"
"CADPS2","CS5","CS5","CS6","CS5","CS7"
"MIB1","CS2","CS2","CS1","CS2","CS1"
"RFWD3","CS2","CS2","CS2","CS3","CS2"
"RNF13","CS5","CS5","CS5","CS4","CS6"
"RNF150","CS5","CS5","CS5","CS6","CS5"
"RNF165","CS6","CS6","CS6","CS6","CS4"
"RNF115","CS4","CS4","CS4","CS3","CS4"
"ZNRF1","CS7","CS7","CS6","CS7","CS7"
"ZNRF2","CS6","CS6","CS6","CS6","CS5"
"ZNRF4","CS6","CS6","CS6","CS6","CS6"
"RNF186","CS6","CS6","CS5","CS6","CS6"
"RNF26","CS3","CS3","CS4","CS3","CS3"
"UHRF2","CS5","CS5","CS5","CS5","CS4"
"LTN1","CS4","CS4","CS4","CS5","CS4"
"RNF152","CS6","CS6","CS6","CS6","CS4"
"MGRN1","CS5","CS5","CS2","CS5","CS5"
"RFFL","CS3","CS3","CS3","CS3","CS4"
"RNF157","CS5","CS6","CS6","CS5","CS7"
"RNF168","CS2","CS2","CS2","CS2","CS1"
"TRIM43","CS3","CS3","CS3","CS3","CS4"
"NEURL1","CS5","CS5","CS4","CS5","CS5"
"TRIM56","CS5","CS5","CS5","CS5","CS4"
"RNF144B","CS6","CS6","CS6","CS6","CS6"
"RNF122","CS6","CS6","CS6","CS7","CS6"
"NFX1","CS6","CS6","CS6","CS6","CS6"
"RNF182","CS5","CS5","CS5","CS6","CS4"
"SH3RF2","CS5","CS5","CS5","CS6","CS3"
"ZNRF3","CS6","CS6","CS6","CS6","CS6"
"UBE2Q1","CS2","CS2","CS2","CS3","CS2"
"IRF2BPL","CS7","CS7","CS6","CS5","CS5"
"UBE2Q2","CS5","CS5","CS5","CS6","CS5"
"UBE2T","CS3","CS3","CS3","CS3","CS3"
"UBE2U","CS5","CS5","CS5","CS5","CS6"
"BFAR","CS6","CS6","CS6","CS5","CS5"
"CGRRF1","CS5","CS5","CS5","CS5","CS6"
"RNF113A","CS0","CS0","CS1","CS1","CS0"
"RNF166","CS4","CS4","CS5","CS6","CS4"
"RNF17","CS5","CS5","CS5","CS4","CS6"
"RNF170","CS7","CS7","CS5","CS7","CS7"
"RNF139","CS4","CS5","CS5","CS4","CS6"
"TRIM35","CS7","CS6","CS7","CS6","CS6"
"TRIM38","CS5","CS5","CS5","CS4","CS6"
"TRIM47","CS4","CS4","CS4","CS3","CS4"
"TRIM65","CS5","CS5","CS5","CS5","CS4"
"VPS41","CS1","CS1","CS1","CS1","CS1"
"AGBL2","CS6","CS6","CS6","CS6","CS3"
"ASPM","CS3","CS3","CS3","CS3","CS4"
"TRAPPC11","CS0","CS0","CS0","CS0","CS0"
"NPIPB13",NA,NA,NA,NA,NA
"MTHFSD","CS5","CS5","CS5","CS5","CS5"
"PIWIL1","CS5","CS5","CS5","CS5","CS5"
"RNF38","CS4","CS4","CS4","CS4","CS6"
"SPSB1","CS6","CS6","CS6","CS6","CS5"
"TTLL5","CS4","CS4","CS3","CS4","CS5"
"JPH1","CS4","CS4","CS4","CS4","CS3"
"RTCB","CS1","CS1","CS1","CS1","CS1"
"CPNE2","CS4","CS4","CS3","CS3","CS4"
"MYL5","CS5","CS5","CS5","CS5","CS7"
"H1-0",NA,NA,NA,NA,NA
"GRK4","CS4","CS4","CS4","CS5","CS5"
"PCK1","CS5","CS5","CS6","CS5","CS5"
"CUEDC1","CS4","CS4","CS4","CS4","CS5"
"LZIC","CS4","CS4","CS6","CS4","CS4"
"NTMT1","CS4","CS4","CS4","CS4","CS6"
"PHF7","CS5","CS5","CS5","CS5","CS4"
"RBM34","CS3","CS3","CS1","CS3","CS2"
"RPL41",NA,NA,NA,NA,NA
"TCP11L1","CS5","CS5","CS5","CS5","CS4"
"LMCD1","CS7","CS7","CS7","CS7","CS6"
"MZT2A",NA,NA,NA,NA,NA
"TSLP","CS5","CS6","CS6","CS5","CS6"
"FRMD8","CS7","CS7","CS7","CS7","CS6"
"C19orf12","CS4","CS4","CS4","CS6","CS7"
"TCP11","CS4","CS4","CS4","CS4","CS4"
"KIR3DX1",NA,NA,NA,NA,NA
"ARGLU1","CS1","CS1","CS1","CS1","CS0"
"PNMA8A","CS6","CS6","CS6","CS7","CS6"
"LGALS2","CS6","CS6","CS6","CS7","CS6"
"ODAM","CS6","CS6","CS6","CS6","CS6"
"AMMECR1L","CS4","CS4","CS4","CS5","CS4"
"AVPI1","CS5","CS5","CS5","CS5","CS5"
"ACBD6","CS5","CS5","CS5","CS6","CS5"
"SHTN1","CS6","CS6","CS7","CS7","CS6"
"NRARP","CS5","CS5","CS4","CS3","CS5"
"ARPP19","CS1","CS1","CS1","CS1","CS1"
"POLK","CS6","CS6","CS6","CS7","CS5"
"UEVLD","CS5","CS5","CS5","CS4","CS5"
"DTX3","CS3","CS3","CS4","CS4","CS3"
"MARCHF7",NA,NA,NA,NA,NA
"UBE2DNL",NA,NA,NA,NA,NA
"LNX2","CS6","CS6","CS6","CS6","CS7"
"MKRN3","CS5","CS5","CS4","CS5","CS5"
"RC3H2","CS5","CS5","CS5","CS6","CS5"
"RNF113B","CS5","CS5","CS6","CS5","CS7"
"RNF185","CS4","CS4","CS4","CS6","CS4"
"TRIM74",NA,NA,NA,NA,NA
"TRIM17","CS4","CS4","CS4","CS3","CS4"
"UBE2J2","CS3","CS3","CS3","CS3","CS3"
"LONRF1","CS8","CS7","CS6","CS8","CS5"
"TRIM34","CS6","CS6","CS6","CS7","CS5"
"MKRN2","CS6","CS6","CS7","CS6","CS6"
"TRIM36","CS6","CS6","CS5","CS6","CS6"
"MARCHF3",NA,NA,NA,NA,NA
"RSPRY1","CS5","CS5","CS5","CS5","CS5"
"UBR3","CS5","CS5","CS6","CS5","CS4"
"RNF32","CS6","CS6","CS6","CS5","CS4"
"BRAP","CS2","CS2","CS3","CS2","CS2"
"MARCHF5",NA,NA,NA,NA,NA
"TRIM72","CS4","CS4","CS4","CS4","CS5"
"UBE2F","CS5","CS5","CS5","CS6","CS2"
"RNF133","CS4","CS4","CS4","CS4","CS6"
"MARCHF10",NA,NA,NA,NA,NA
"RNF6","CS4","CS4","CS4","CS5","CS3"
"TRIM15","CS6","CS6","CS5","CS6","CS6"
"EN1","CS5","CS5","CS6","CS5","CS5"
"NKX2-5",NA,NA,NA,NA,NA
"INSIG2","CS6","CS6","CS6","CS6","CS5"
"MYBPC1","CS6","CS6","CS7","CS6","CS4"
"TRPA1","CS5","CS5","CS5","CS5","CS4"
"PYHIN1","CS6","CS6","CS6","CS6","CS4"
"TCF7","CS3","CS3","CS3","CS3","CS2"
"RNF19B","CS5","CS5","CS5","CS4","CS4"
"BTG4","CS6","CS6","CS7","CS7","CS5"
"EVI5","CS5","CS5","CS5","CS3","CS5"
"VPS36","CS4","CS4","CS2","CS2","CS4"
"FBXO31","CS6","CS6","CS5","CS5","CS6"
"LRRK2","CS5","CS5","CS5","CS6","CS6"
"IGKV2D-29",NA,NA,NA,NA,NA
"ASB2","CS6","CS6","CS7","CS7","CS6"
"ASB1","CS6","CS6","CS6","CS6","CS6"
"ASB6","CS4","CS4","CS4","CS4","CS2"
"ASB7","CS4","CS4","CS4","CS5","CS4"
"ASB12","CS5","CS5","CS5","CS5","CS5"
"ADSS2","CS1","CS1","CS1","CS1","CS1"
"TECPR1","CS4","CS4","CS4","CS4","CS4"
"WDR45","CS4","CS4","CS4","CS4","CS4"
"ATG2B","CS6","CS6","CS6","CS6","CS6"
"OBSL1","CS4","CS4","CS4","CS5","CS4"
"ATG4C","CS3","CS3","CS4","CS2","CS4"
"MAP1LC3C","CS6","CS6","CS6","CS6","CS6"
"PIK3C3","CS1","CS1","CS1","CS1","CS2"
"PIK3R4","CS1","CS1","CS1","CS1","CS1"
"UVRAG","CS5","CS5","CS5","CS4","CS4"
"ATG14","CS3","CS5","CS4","CS5","CS6"
"RUBCN","CS6","CS6","CS6","CS6","CS7"
"TRABD","CS5","CS5","CS6","CS5","CS5"
"RUBCNL","CS6","CS6","CS5","CS6","CS7"
"ATG13","CS6","CS6","CS6","CS5","CS6"
"ATG101","CS5","CS5","CS6","CS3","CS5"
"ETFA","CS5","CS6","CS5","CS6","CS4"
"ESYT2","CS6","CS6","CS6","CS5","CS6"
"COX15","CS3","CS3","CS3","CS6","CS2"
"HSD17B12","CS1","CS1","CS2","CS3","CS1"
"RIF1","CS3","CS3","CS3","CS2","CS3"
"CPT1A","CS4","CS4","CS4","CS4","CS4"
"FARSB","CS0","CS0","CS0","CS0","CS0"
"LAP3","CS4","CS4","CS4","CS4","CS3"
"NANS","CS5","CS5","CS5","CS4","CS6"
"ESD","CS6","CS6","CS5","CS5","CS6"
"ALDH7A1","CS3","CS3","CS5","CS4","CS3"
"TEDC1","CS2","CS2","CS2","CS1","CS2"
"RTL6","CS7","CS7","CS7","CS7","CS7"
"RMC1","CS6","CS6","CS6","CS8","CS6"
"FYCO1","CS4","CS4","CS4","CS5","CS4"
"CCZ1",NA,NA,NA,NA,NA
"MON1B","CS6","CS6","CS6","CS7","CS5"
"DNAAF4","CS6","CS6","CS6","CS6","CS6"
"STBD1","CS6","CS6","CS4","CS6","CS5"
"TECPR2","CS6","CS6","CS6","CS5","CS6"
"TBC1D2B","CS5","CS5","CS5","CS5","CS5"
"WDR11","CS5","CS5","CS5","CS5","CS6"
"LLGL1","CS6","CS6","CS6","CS4","CS6"
"TEFM","CS2","CS2","CS2","CS2","CS2"
"RBM26","CS4","CS4","CS4","CS4","CS5"
"RBFA","CS5","CS5","CS3","CS5","CS5"
"MTM1","CS6","CS6","CS6","CS6","CS6"
"BRSK2","CS6","CS6","CS6","CS5","CS6"
"VANGL1","CS4","CS4","CS6","CS4","CS5"
"KLHDC10","CS4","CS4","CS6","CS4","CS5"
"NAPG","CS1","CS1","CS1","CS0","CS1"
"CSNK1G3","CS6","CS6","CS6","CS6","CS5"
"XIRP2","CS5","CS5","CS5","CS5","CS6"
"CLPTM1L","CS7","CS7","CS7","CS7","CS6"
"EIF5B","CS2","CS2","CS2","CS2","CS2"
"SH3PXD2A","CS4","CS4","CS4","CS4","CS2"
"CEP170B","CS4","CS4","CS4","CS4","CS5"
"MAST3","CS4","CS4","CS4","CS4","CS3"
"BAIAP2L1","CS6","CS6","CS6","CS6","CS5"
"GFPT1","CS1","CS1","CS1","CS1","CS1"
"PARS2","CS2","CS2","CS1","CS2","CS2"
"MAP3K15",NA,NA,NA,NA,NA
"RAB24","CS4","CS5","CS3","CS5","CS3"
"RABGAP1L","CS5","CS5","CS5","CS5","CS6"
"SMCR8","CS5","CS4","CS4","CS5","CS4"
"ABHD10","CS4","CS4","CS5","CS4","CS4"
"CEP78","CS5","CS5","CS5","CS4","CS5"
"DIP2B","CS2","CS3","CS2","CS3","CS2"
"EMILIN3","CS5","CS5","CS6","CS5","CS5"
"OSBPL8","CS4","CS4","CS4","CS5","CS4"
"INA","CS4","CS4","CS5","CS4","CS4"
"ASPH","CS6","CS6","CS6","CS6","CS6"
"TRMT61B","CS3","CS3","CS3","CS5","CS3"
"FREM1","CS6","CS6","CS6","CS6","CS5"
"RASSF4","CS5","CS5","CS4","CS5","CS5"
"TAOK1","CS8","CS8","CS8","CS8","CS4"
"TRAPPC8","CS0","CS0","CS0","CS0","CS0"
"TRAPPC12","CS5","CS5","CS4","CS5","CS5"
"HSD17B4","CS3","CS3","CS4","CS3","CS3"
"HADH","CS5","CS5","CS4","CS5","CS4"
"NAA15","CS1","CS1","CS1","CS1","CS1"
"BTBD8","CS5","CS5","CS5","CS3","CS4"
"KIAA1191","CS5","CS5","CS5","CS6","CS5"
"NDUFB6","CS2","CS2","CS2","CS5","CS1"
"MKX","CS6","CS6","CS8","CS6","CS7"
"EYA1","CS6","CS6","CS6","CS6","CS6"
"SESN2","CS4","CS4","CS6","CS4","CS4"
"SESN1","CS6","CS6","CS6","CS6","CS5"
"KMT2B","CS2","CS2","CS3","CS2","CS2"
"BRINP1","CS6","CS6","CS6","CS5","CS3"
"U2AF1L4","CS5","CS5","CS5","CS5","CS3"
"PITX3","CS4","CS5","CS6","CS4","CS3"
"NR4A2","CS4","CS4","CS4","CS4","CS4"
"H1-4",NA,NA,NA,NA,NA
"SIRT5","CS5","CS5","CS4","CS5","CS5"
"TOR1AIP2","CS2","CS2","CS2","CS2","CS2"
"TPX2","CS0","CS0","CS0","CS0","CS0"
"FOXL2","CS3","CS3","CS4","CS3","CS3"
"PEX11A","CS5","CS5","CS5","CS5","CS5"
"PEX11G","CS6","CS6","CS6","CS6","CS4"
"USP31","CS6","CS6","CS5","CS6","CS5"
"AFF1","CS6","CS6","CS6","CS6","CS5"
"NT5E","CS5","CS5","CS5","CS5","CS3"
"UBE4B","CS4","CS4","CS4","CS4","CS2"
"PEDS1","CS4","CS4","CS4","CS6","CS4"
"KDM4C","CS5","CS5","CS5","CS5","CS4"
"ZNF644","CS5","CS5","CS6","CS4","CS5"
"MAPK6","CS4","CS4","CS4","CS4","CS4"
"CSN1S1","CS5","CS5","CS5","CS6","CS5"
"CSN2","CS6","CS6","CS6","CS6","CS3"
"PLEKHA5","CS5","CS5","CS4","CS5","CS5"
"EXTL3","CS4","CS4","CS4","CS2","CS3"
"KRT13","CS4","CS4","CS5","CS4","CS5"
"KRT14","CS5","CS5","CS4","CS5","CS5"
"LAMB1","CS5","CS4","CS5","CS5","CS4"
"LAMB2","CS5","CS5","CS5","CS5","CS4"
"IRAG2","CS4","CS4","CS5","CS4","CS5"
"MT-ATP8",NA,NA,NA,NA,NA
"MT-CO1",NA,NA,NA,NA,NA
"MT-ND4",NA,NA,NA,NA,NA
"MT-ND5",NA,NA,NA,NA,NA
"NKTR","CS5","CS5","CS4","CS4","CS5"
"EXOSC9","CS1","CS1","CS1","CS1","CS1"
"PNLIP","CS6","CS6","CS5","CS6","CS4"
"RPL7A",NA,NA,NA,NA,NA
"RPS27",NA,NA,NA,NA,NA
"UBA52","CS0","CS0","CS0","CS0","CS0"
"VRK2","CS6","CS5","CS6","CS4","CS5"
"ZNF142","CS6","CS6","CS3","CS6","CS5"
"ZNF175","CS6","CS5","CS5","CS5","CS6"
"CDC42BPA","CS4","CS4","CS5","CS4","CS4"
"MAP4K3","CS7","CS6","CS7","CS6","CS7"
"GAS7","CS5","CS5","CS5","CS5","CS5"
"SLC4A4","CS5","CS5","CS5","CS5","CS6"
"PROM1","CS6","CS6","CS6","CS6","CS5"
"CEP290","CS4","CS4","CS3","CS4","CS2"
"IFT140","CS4","CS5","CS5","CS4","CS5"
"RIPOR2","CS5","CS5","CS4","CS5","CS6"
"NUP58","CS3","CS3","CS3","CS1","CS2"
"CEP350","CS2","CS2","CS2","CS2","CS6"
"TOX4","CS3","CS3","CS3","CS2","CS2"
"PIBF1","CS6","CS6","CS4","CS6","CS4"
"CNTRL","CS4","CS4","CS4","CS5","CS4"
"COBLL1","CS4","CS4","CS4","CS4","CS4"
"ADNP2","CS5","CS5","CS5","CS5","CS4"
"ADGRL1","CS6","CS6","CS6","CS6","CS4"
"PLEKHA6","CS5","CS5","CS5","CS5","CS5"
"SETX","CS2","CS4","CS3","CS4","CS2"
"RAP1GAP2","CS7","CS7","CS7","CS7","CS7"
"CIC","CS5","CS7","CS7","CS7","CS3"
"RGL1","CS6","CS5","CS5","CS4","CS6"
"COBL","CS6","CS6","CS6","CS6","CS5"
"PPP1R13B","CS5","CS5","CS6","CS7","CS7"
"CRTC1","CS6","CS6","CS6","CS6","CS6"
"SPECC1L","CS4","CS4","CS4","CS5","CS5"
"SIK3","CS5","CS5","CS5","CS5","CS5"
"MACF1","CS5","CS5","CS4","CS5","CS5"
"BICRAL","CS7","CS7","CS6","CS4","CS4"
"KIAA1549L","CS6","CS6","CS7","CS6","CS5"
"PTPN23","CS0","CS0","CS0","CS0","CS0"
"KRT23","CS4","CS4","CS4","CS4","CS3"
"KIF26A","CS4","CS4","CS4","CS5","CS4"
"ZC3H7A","CS3","CS3","CS3","CS4","CS5"
"BICRA","CS7","CS7","CS5","CS7","CS7"
"FAM13B","CS6","CS6","CS6","CS7","CS6"
"FAM53C","CS5","CS5","CS4","CS5","CS5"
"WDR44","CS3","CS3","CS3","CS3","CS1"
"NSD3","CS6","CS6","CS6","CS6","CS6"
"KIF26B","CS5","CS5","CS5","CS5","CS4"
"CCDC186","CS6","CS6","CS6","CS5","CS6"
"MSL2","CS3","CS3","CS3","CS3","CS4"
"ZNF823","CS6","CS6","CS4","CS6","CS6"
"CCDC88A","CS4","CS4","CS4","CS5","CS6"
"ZNF83","CS5","CS4","CS4","CS5","CS4"
"MBD5","CS6","CS6","CS6","CS6","CS5"
"ZNF839","CS4","CS4","CS4","CS4","CS3"
"TXLNG","CS5","CS5","CS5","CS4","CS4"
"MYNN","CS5","CS5","CS6","CS5","CS4"
"FAM214A","CS6","CS6","CS6","CS4","CS6"
"ARHGAP31","CS5","CS5","CS6","CS5","CS6"
"KIAA1328","CS4","CS4","CS4","CS4","CS3"
"ZNF106","CS5","CS5","CS5","CS3","CS5"
"GAREM1","CS5","CS5","CS5","CS5","CS6"
"CRTC3","CS4","CS4","CS5","CS7","CS4"
"RASAL3","CS6","CS6","CS6","CS6","CS6"
"CPLANE1","CS4","CS4","CS4","CS6","CS6"
"WNK2",NA,NA,NA,NA,NA
"FBXO30","CS6","CS6","CS7","CS6","CS6"
"TBC1D3F",NA,NA,NA,NA,NA
"ABLIM2","CS5","CS5","CS5","CS6","CS6"
"MAP3K21","CS4","CS4","CS5","CS4","CS5"
"ZGPAT","CS5","CS5","CS5","CS4","CS4"
"CGNL1","CS5","CS5","CS4","CS7","CS4"
"HPS4","CS7","CS7","CS7","CS7","CS6"
"NAV3","CS5","CS5","CS6","CS5","CS5"
"NAV1","CS3","CS3","CS4","CS3","CS3"
"CCDC97","CS7","CS7","CS4","CS7","CS7"
"CEP95","CS4","CS4","CS4","CS4","CS4"
"MIDEAS","CS3","CS3","CS4","CS3","CS4"
"RBM33","CS4","CS4","CS3","CS3","CS4"
"CFAP36","CS4","CS4","CS4","CS4","CS5"
"FMNL2","CS6","CS6","CS6","CS6","CS7"
"ARHGAP33","CS5","CS5","CS5","CS6","CS5"
"MSI2","CS4","CS4","CS4","CS5","CS3"
"TOM1L2","CS5","CS5","CS5","CS5","CS6"
"ZNF418","CS6","CS6","CS5","CS7","CS6"
"KIAA2026",NA,NA,NA,NA,NA
"ZNF600","CS6","CS6","CS5","CS6","CS6"
"SYNPO2","CS7","CS7","CS7","CS6","CS7"
"INTS6L","CS7","CS5","CS4","CS5","CS6"
"USF3","CS6","CS6","CS6","CS5","CS6"
"MUC12","CS5","CS5","CS6","CS5","CS5"
"STK32C","CS7","CS7","CS7","CS6","CS5"
"CCDC88B","CS3","CS3","CS3","CS3","CS3"
"NCKAP5L","CS4","CS3","CS4","CS4","CS3"
"ZBTB8OS","CS1","CS1","CS2","CS1","CS1"
"NCKAP5","CS6","CS6","CS6","CS6","CS6"
"SOGA1","CS5","CS5","CS4","CS4","CS5"
"WASH2P",NA,NA,NA,NA,NA
"SIMC1","CS4","CS4","CS4","CS4","CS2"
"MYO18A","CS3","CS3","CS4","CS3","CS2"
"POM121C","CS1","CS1","CS1","CS1","CS1"
"WFDC5","CS5","CS5","CS4","CS5","CS5"
"SERTAD2","CS6","CS6","CS5","CS6","CS6"
"KLHL41","CS5","CS5","CS5","CS5","CS4"
"FKBP14","CS7","CS7","CS6","CS7","CS7"
"DNAJC9","CS0","CS0","CS0","CS0","CS0"
"ATAD2","CS3","CS3","CS2","CS2","CS4"
"SCX",NA,NA,NA,NA,NA
"RAG2","CS5","CS7","CS5","CS5","CS7"
"CDCA4","CS5","CS5","CS5","CS5","CS5"
"NANOG",NA,NA,NA,NA,NA
"SALL4","CS5","CS5","CS5","CS6","CS5"
"PRDM16","CS4","CS4","CS6","CS4","CS5"
"MDN1","CS0","CS0","CS0","CS0","CS0"
"NLRP10","CS6","CS6","CS6","CS6","CS6"
"DENND5A","CS4","CS4","CS5","CS4","CS4"
"ZBTB1","CS5","CS5","CS4","CS4","CS5"
"MED12L","CS6","CS6","CS6","CS7","CS6"
"SMOC2","CS6","CS6","CS6","CS6","CS5"
"EVC2","CS6","CS6","CS7","CS6","CS6"
"ATP5PF","CS2","CS2","CS2","CS2","CS3"
"BCL7C","CS4","CS4","CS4","CS4","CS3"
"HSPA1B",NA,NA,NA,NA,NA
"ZNF428","CS5","CS5","CS5","CS3","CS5"
"KRT16","CS3","CS3","CS4","CS2","CS3"
"LCOR","CS5","CS5","CS5","CS5","CS5"
"ZNF224","CS5","CS5","CS5","CS6","CS5"
"SPHK2","CS4","CS3","CS4","CS5","CS3"
"MBTPS1","CS1","CS1","CS1","CS0","CS1"
"HOXA11","CS3","CS3","CS3","CS3","CS3"
"NUPR1","CS5","CS5","CS5","CS5","CS6"
"FAT1","CS6","CS6","CS6","CS6","CS5"
"BHLHE41","CS5","CS5","CS4","CS5","CS4"
"CHD1L","CS4","CS4","CS5","CS4","CS4"
"H3F3AP6",NA,NA,NA,NA,NA
"H2BC3",NA,NA,NA,NA,NA
"GRIN3A","CS5","CS5","CS5","CS5","CS5"
"ZNF45","CS5","CS5","CS6","CS7","CS5"
"MRTO4","CS0","CS0","CS0","CS0","CS0"
"API5","CS3","CS3","CS3","CS3","CS6"
"APLF","CS5","CS5","CS4","CS5","CS5"
"PBRM1","CS3","CS3","CS3","CS4","CS3"
"TBX21","CS5","CS5","CS5","CS5","CS3"
"PHC3","CS5","CS5","CS7","CS5","CS5"
"TNP2","CS5","CS5","CS5","CS5","CS5"
"UQCC1","CS4","CS4","CS2","CS4","CS1"
"CHRM2","CS4","CS4","CS6","CS4","CS4"
"PDS5B","CS3","CS3","CS2","CS3","CS3"
"MKRN1","CS1","CS1","CS1","CS1","CS1"
"CXXC5","CS5","CS5","CS5","CS5","CS6"
"MCPH1","CS3","CS3","CS2","CS4","CS3"
"LZTR1","CS7","CS7","CS6","CS4","CS7"
"ZBTB9","CS3","CS3","CS3","CS4","CS5"
"ZBTB3","CS4","CS4","CS3","CS5","CS4"
"HOXC13","CS4","CS4","CS7","CS4","CS4"
"ZNF226","CS5","CS5","CS5","CS5","CS6"
"HOXC9","CS5","CS5","CS5","CS4","CS3"
"PRDM14","CS5","CS5","CS5","CS3","CS3"
"ZNF35","CS5","CS5","CS5","CS5","CS5"
"ZSCAN1","CS5","CS5","CS5","CS5","CS4"
"TBX2","CS4","CS4","CS4","CS4","CS4"
"ALX4","CS5","CS5","CS5","CS4","CS5"
"ZFP2","CS6","CS6","CS6","CS6","CS7"
"ZNF384","CS5","CS5","CS5","CS4","CS5"
"TRIM22","CS5","CS5","CS6","CS5","CS5"
"ZNF436","CS4","CS4","CS4","CS4","CS4"
"ZNF92","CS4","CS4","CS4","CS5","CS4"
"SSX3","CS4","CS4","CS4","CS3","CS4"
"ZSCAN31","CS5","CS5","CS5","CS6","CS6"
"DMRT1","CS6","CS6","CS6","CS6","CS4"
"ELAVL2","CS5","CS5","CS5","CS5","CS6"
"EMX1","CS4","CS4","CS6","CS4","CS3"
"HOXB13","CS6","CS6","CS6","CS5","CS6"
"PRDM4","CS6","CS6","CS5","CS6","CS4"
"EMX2","CS5","CS5","CS5","CS4","CS4"
"ETV4","CS4","CS4","CS4","CS4","CS6"
"ZNF184","CS6","CS6","CS6","CS6","CS6"
"HMGN4","CS3","CS3","CS3","CS4","CS4"
"E2F8","CS6","CS5","CS5","CS7","CS6"
"ZNF383","CS5","CS5","CS5","CS5","CS3"
"FOXM1","CS3","CS3","CS2","CS1","CS3"
"ZZZ3","CS3","CS3","CS3","CS3","CS2"
"ZBTB20","CS6","CS5","CS6","CS5","CS7"
"HOXC11","CS3","CS3","CS3","CS3","CS3"
"HDGF","CS4","CS4","CS5","CS4","CS4"
"HNF4G","CS5","CS5","CS5","CS4","CS7"
"HLF","CS5","CS5","CS5","CS5","CS5"
"FOXA3","CS6","CS6","CS6","CS5","CS4"
"IRF6","CS4","CS4","CS4","CS4","CS5"
"ZNF502","CS6","CS6","CS6","CS6","CS5"
"HOXA3","CS5","CS5","CS5","CS5","CS3"
"PWP1","CS1","CS1","CS1","CS1","CS1"
"SOX15","CS4","CS4","CS5","CS4","CS2"
"PHTF1","CS3","CS3","CS4","CS3","CS3"
"SPZ1","CS6","CS6","CS6","CS6","CS4"
"HOXD1","CS7","CS7","CS7","CS7","CS6"
"CBX6","CS7","CS7","CS7","CS6","CS7"
"SOX8","CS5","CS5","CS7","CS5","CS5"
"ZSCAN18","CS4","CS4","CS4","CS4","CS3"
"TIGD4","CS4","CS4","CS5","CS4","CS4"
"FCMR","CS5","CS4","CS3","CS4","CS5"
"NAP1L2","CS7","CS7","CS7","CS7","CS6"
"LDB2","CS6","CS6","CS5","CS6","CS6"
"PRICKLE3","CS6","CS6","CS6","CS6","CS6"
"LMX1B","CS6","CS6","CS6","CS5","CS4"
"ZNF512B","CS5","CS5","CS4","CS5","CS5"
"MEIS2","CS6","CS6","CS5","CS5","CS6"
"ZDHHC2","CS6","CS4","CS6","CS5","CS4"
"PAPOLG","CS7","CS6","CS4","CS6","CS5"
"HESX1","CS4","CS4","CS4","CS3","CS4"
"RHOXF1","CS5","CS6","CS6","CS5","CS5"
"FUBP3","CS7","CS7","CS7","CS7","CS7"
"ZNF23","CS6","CS6","CS6","CS6","CS6"
"ZNF195","CS7","CS7","CS7","CS7","CS7"
"DIP2C","CS7","CS7","CS7","CS7","CS7"
"MIS18BP1","CS1","CS1","CS1","CS1","CS1"
"HES4","CS5","CS5","CS5","CS4","CS3"
"SOWAHC","CS1","CS1","CS1","CS2","CS1"
"ZNF714","CS5","CS5","CS5","CS5","CS6"
"FBXL19","CS4","CS4","CS3","CS4","CS5"
"TLX3","CS3","CS4","CS4","CS3","CS4"
"SSX1","CS3","CS3","CS3","CS2","CS3"
"SSX5","CS2","CS2","CS2","CS2","CS2"
"ANKZF1","CS5","CS4","CS5","CS4","CS6"
"ZNF407","CS1","CS1","CS1","CS1","CS1"
"ASCL3","CS5","CS5","CS5","CS6","CS4"
"UBP1","CS4","CS4","CS4","CS4","CS6"
"VENTX","CS4","CS4","CS5","CS4","CS5"
"ZFY",NA,NA,NA,NA,NA
"ZNF137P",NA,NA,NA,NA,NA
"HDX","CS6","CS6","CS7","CS6","CS6"
"ZNF200","CS5","CS5","CS4","CS4","CS5"
"ZNF212","CS4","CS4","CS4","CS4","CS4"
"SUGP2","CS2","CS2","CS2","CS3","CS2"
"ZNF490","CS5","CS5","CS5","CS6","CS5"
"ANKRD53","CS4","CS4","CS6","CS4","CS5"
