label,label_wo_outliers
MOB3A,CS5,CS5
EBAG9,CS6,CS6
HMCES,CS4,CS4
FGF21,CS3,CS3
SP140L,CS7,CS7
PARP16,CS5,CS5
PRR16,CS5,CS5
SLC23A2,CS6,CS6
PRRG1,CS7,CS7
FCHO2,CS4,CS4
DYRK4,CS5,CS5
CCNF,CS5,CS5
TAS2R13,CS5,CS5
BRD9,CS7,CS7
LDHC,CS7,CS7
CHD5,CS5,CS5
DPEP3,CS5,CS5
DPEP2,CS5,CS5
PHRF1,CS5,CS5
RSRC2,CS2,CS2
CRNN,CS5,CS5
WNT2B,CS5,CS5
PPP1R15B,CS1,CS1
ZNF80,CS5,CS5
MSRB2,CS5,CS5
CCDC170,CS7,CS7
THSD7A,CS7,CS7
SMR3B,CS0,CS0
EVX1,CS5,CS5
ZNF8,CS6,CS6
ZNF649,CS5,CS5
ZNF566,CS5,CS5
ZNF460,CS6,CS6
RBAK,CS6,CS6
ZNF829,CS5,CS5
ZNF689,CS4,CS4
ZNF324,CS5,CS5
SULF1,CS5,CS5
RFT1,CS1,CS1
SCD,CS1,CS1
ROBO3,CS6,CS6
SPAG8,CS3,CS3
STAC,CS6,CS6
RASL10B,CS5,CS5
CYP26B1,CS6,CS6
DECR2,CS6,CS6
NUDT16L1,CS3,CS3
ZADH2,CS6,CS6
SRSF8,,
SRPK3,CS5,CS5
TET1,CS4,CS4
UBN1,CS5,CS5
EXOC6,CS5,CS5
CTDNEP1,CS1,CS1
CNEP1R1,CS4,CS4
SALL3,CS6,CS6
SOX5,CS5,CS5
ZFP42,CS7,CS7
YY2,CS7,CS7
RCAN3,CS6,CS6
DDN,CS1,CS1
AGR3,CS4,CS4
LYPD3,CS4,CS4
SETD6,CS6,CS6
SSTR3,CS5,CS5
HAUS3,CS0,CS0
HAUS8,CS0,CS0
DNHD1,CS6,CS6
KDM4B,CS4,CS4
HSD17B8,CS6,CS6
RPS26P11,,
SETD3,CS5,CS5
AMPD3,CS6,CS6
GNL1,CS3,CS3
TCF15,CS7,CS7
YEATS2,CS1,CS1
STX10,CS4,CS4
OR1E2,,
MPO,CS4,CS4
AZU1,CS7,CS7
H2AJ,CS1,CS1
RNASE3,CS4,CS4
CNDP2,CS6,CS6
MAOA,CS7,CS7
COX14,CS3,CS3
COA1,CS5,CS5
COA6,CS2,CS2
ZFP57,CS4,CS4
NCAPH2,CS1,CS1
LDB3,CS5,CS5
CSRNP1,CS6,CS6
TPRN,CS6,CS6
PPP1R18,CS4,CS4
PPP1R3E,CS3,CS3
PPP1R3G,CS6,CS6
KANK1,CS6,CS6
CLCN2,CS6,CS6
CNP,CS4,CS4
FRMPD4,CS6,CS6
GLIPR1L2,CS4,CS4
RPRD2,CS2,CS2
LPIN2,CS6,CS6
NDP,CS6,CS6
SLC45A1,CS6,CS6
ZBTB11,CS0,CS0
ZNF827,CS6,CS6
KIF2A,CS5,CS5
RPL19,CS0,CS0
MACROH2A2,CS4,CS4
HP1BP3,CS6,CS6
PHF6,CS5,CS5
RCL1,CS1,CS1
CENPQ,CS4,CS4
CENPP,CS2,CS2
TMEM141,CS4,CS4
KIAA0319,CS6,CS6
HSPA12A,CS5,CS5
VPS13D,CS1,CS1
PLXNA2,CS5,CS5
CEMIP,CS6,CS6
IFT80,CS4,CS4
SSPOP,,
ATXN7L1,CS7,CS7
TET2,CS6,CS6
PLXND1,CS5,CS5
LRP4,CS3,CS3
WHRN,CS6,CS6
BAHCC1,,
UNC13A,CS4,CS4
DSCAML1,CS6,CS6
PLCL2,CS6,CS6
BTBD3,CS5,CS5
CARNS1,CS4,CS4
KIAA1549,CS5,CS5
CADPS,CS5,CS5
THSD7B,,
TANGO6,CS0,CS0
MEGF10,CS6,CS6
CCN5,CS5,CS5
H4C7,CS4,CS4
KBTBD13,CS5,CS5
ZBTB37,CS4,CS4
C2orf73,CS5,CS5
PIK3AP1,CS6,CS6
TRMO,CS5,CS5
BRDT,CS5,CS5
BOD1L1,CS4,CS4
DNAJC21,CS7,CS7
DCUN1D4,CS5,CS5
SH3BGR,CS6,CS6
CHKA,CS2,CS2
CTU1,CS1,CS1
CTU2,CS1,CS1
MBNL1,CS4,CS4
UVSSA,CS5,CS5
TRIM16,CS7,CS7
RAB34,CS3,CS3
NAA16,CS5,CS5
AMH,CS5,CS5
FBXL7,CS6,CS6
KDM5D,,
FBXL2,CS4,CS4
DTX4,CS5,CS5
DESI1,CS4,CS4
ZBTB46,CS6,CS6
HINT1,CS6,CS6
H2AB1,,
ZNF280D,CS6,CS6
SPINT3,CS6,CS6
AGFG2,CS4,CS4
KIF16B,CS5,CS5
GAREM2,CS4,CS4
GOLGA8A,,
AHDC1,CS4,CS4
GPNMB,CS6,CS6
ITPKA,CS3,CS3
LARP6,CS5,CS5
FUT1,CS4,CS4
MAPK4,CS6,CS6
MAP9,CS6,CS6
UHMK1,CS6,CS6
CASD1,CS5,CS5
ZNF554,CS5,CS5
IKBIP,CS6,CS6
RNF149,CS5,CS5
TTC33,CS4,CS4
HERPUD2,CS5,CS5
ADAT1,CS4,CS4
MARVELD2,CS6,CS6
CISD2,CS5,CS5
IGIP,CS6,CS6
KLHL3,CS4,CS4
WDR45B,CS5,CS5
OTULINL,CS6,CS6
GCLC,CS6,CS6
CEMIP2,CS5,CS5
TMEM263,CS6,CS6
PHACTR2,CS5,CS5
EPHB4,CS5,CS5
SNX19,CS5,CS5
NADK2,CS6,CS6
SNRNP48,CS1,CS1
TSPAN31,CS3,CS3
PATL1,CS4,CS4
SESN3,CS5,CS5
OSBPL2,CS4,CS4
USB1,CS3,CS3
PPTC7,CS6,CS6
IRX1,CS5,CS5
VSIG10,CS5,CS5
CDV3,CS3,CS3
KCTD9,CS4,CS4
FNDC3A,CS5,CS5
SAMD1,,
HSD17B11,CS5,CS5
EEF1AKMT3,CS3,CS3
DHRS3,CS4,CS4
PITPNB,CS5,CS5
CMPK1,CS0,CS0
RABL2A,,
DUSP28,CS6,CS6
TENT5A,CS5,CS5
TMEM9B,CS5,CS5
CREB3L2,CS6,CS6
NDUFC2,CS2,CS2
GLIPR2,CS5,CS5
TMEM38B,CS5,CS5
DUSP15,CS6,CS6
TMEM52B,CS5,CS5
OXSR1,CS5,CS5
TMEM68,CS4,CS4
EFHD2,CS4,CS4
FAM172A,CS6,CS6
SLC39A10,CS1,CS1
TMTC4,CS6,CS6
UST,CS7,CS7
FAM219B,CS6,CS6
PHTF2,CS4,CS4
TANGO2,CS5,CS5
SPOCK1,CS5,CS5
DPP8,CS6,CS6
TTPAL,CS5,CS5
SRD5A1,CS6,CS6
GAL,CS4,CS4
TP53TG3F,,
GPR180,CS6,CS6
MTRR,CS6,CS6
FAM110B,CS4,CS4
LRTOMT,CS6,CS6
NIPAL3,CS7,CS7
LPCAT4,CS4,CS4
GRPEL2,CS5,CS5
XKR6,CS6,CS6
C2orf68,CS3,CS3
DTD2,CS4,CS4
SCML1,CS6,CS6
ZNF528,CS4,CS4
SLC25A37,CS5,CS5
SLC25A15,CS5,CS5
FAM83H,CS4,CS4
GLYR1,CS4,CS4
ZC2HC1A,CS7,CS7
CAMKMT,CS5,CS5
TTL,CS4,CS4
SLC19A2,CS3,CS3
GPAT3,CS5,CS5
TBCCD1,CS6,CS6
SLC35F2,CS5,CS5
SLC16A6,CS4,CS4
CTBS,CS5,CS5
TMED7,CS5,CS5
TC2N,CS6,CS6
CAMSAP2,CS4,CS4
PSMG3,CS0,CS0
SLC25A43,CS6,CS6
TYW1,CS4,CS4
ANTXR1,CS5,CS5
TSPAN14,CS5,CS5
RAB21,CS3,CS3
PRELID3B,CS0,CS0
ISOC1,CS5,CS5
SPAST,CS6,CS6
CBR4,CS5,CS5
FARP1,CS6,CS6
SMIM12,CS6,CS6
MSANTD3,CS4,CS4
COL15A1,CS5,CS5
ADRA1D,CS6,CS6
SLC2A3,CS5,CS5
RDH10,CS4,CS4
STARD3NL,CS6,CS6
C9orf64,CS5,CS5
BLCAP,CS5,CS5
ATP2C1,CS3,CS3
CYP51A1,CS6,CS6
SAYSD1,CS5,CS5
PRXL2C,CS6,CS6
MT1X,,
MFSD13A,CS6,CS6
MPV17L,CS4,CS4
ADAMTS4,CS3,CS3
DENND1C,CS3,CS3
C16orf87,CS4,CS4
GDPGP1,CS6,CS6
TSPAN13,CS6,CS6
ANKRD10,CS6,CS6
CRYL1,CS6,CS6
AMMECR1,CS5,CS5
DESI2,CS6,CS6
RAP2C,CS7,CS7
CEP20,CS6,CS6
SCAMP4,CS5,CS5
LIPA,CS6,CS6
OLR1,CS6,CS6
MTFMT,CS3,CS3
ANXA2R,CS4,CS4
ARID5B,CS5,CS5
SAR1A,CS5,CS5
GFOD1,CS7,CS7
RHOF,CS4,CS4
NCCRP1,CS5,CS5
RNASEH1,CS4,CS4
RASL11A,CS5,CS5
CNOT6,CS5,CS5
CHSY1,CS6,CS6
HCCS,CS4,CS4
DNAJC15,CS5,CS5
BCDIN3D,CS2,CS2
ZBED3,CS6,CS6
MAK16,CS0,CS0
ERMP1,CS6,CS6
ZNF532,CS5,CS5
SLC35G1,CS5,CS5
FNDC3B,CS6,CS6
MMGT1,CS2,CS2
VEZF1,CS2,CS2
FAM241A,CS6,CS6
SALL4,CS5,CS5
TUSC1,CS7,CS7
TLNRD1,CS5,CS5
AIF1L,CS4,CS4
LRRC8A,CS5,CS5
CCNY,CS5,CS5
SLC30A9,CS4,CS4
MYBPH,CS5,CS5
CGAS,CS4,CS4
FAM199X,CS6,CS6
HMGN2P46,,
SLC50A1,CS6,CS6
ZNF280B,CS6,CS6
PPIC,CS5,CS5
PIGM,CS4,CS4
LSM14A,CS2,CS2
ALKBH5,CS5,CS5
FAM72D,,
TMEM159,,
GLCE,CS5,CS5
FAM114A2,CS5,CS5
TBC1D20,CS5,CS5
TBC1D22B,CS4,CS4
TMEM14A,CS6,CS6
CD70,CS6,CS6
RRNAD1,,
CPNE8,CS5,CS5
HCN3,CS5,CS5
C2CD2,CS5,CS5
REEP1,CS4,CS4
SPRING1,CS4,CS4
IFT74,CS6,CS6
GPD1L,CS6,CS6
TMEM65,CS6,CS6
RAB2B,CS5,CS5
CA5B,CS6,CS6
LGALSL,CS5,CS5
NT5DC3,CS4,CS4
ANGEL2,CS5,CS5
C4orf46,CS5,CS5
RSBN1,CS4,CS4
ZNHIT6,CS1,CS1
PRR3,CS5,CS5
CENPL,CS1,CS1
TMEM268,CS7,CS7
ZNF696,CS5,CS5
LARP4,CS2,CS2
OSGIN2,CS5,CS5
SLC22A5,CS4,CS4
PROSER3,,
VMA21,CS4,CS4
CREBL2,CS6,CS6
CCDC117,CS5,CS5
OR14I1,,
TENT2,CS6,CS6
SNX10,CS5,CS5
CHTOP,CS2,CS2
ARHGAP19,CS5,CS5
OSR2,CS5,CS5
CAMK2N1,CS5,CS5
C3orf33,CS7,CS7
GUCD1,CS4,CS4
SLC39A11,CS5,CS5
GOLPH3,CS7,CS7
FAM107B,CS6,CS6
ILRUN,CS3,CS3
FAM120AOS,CS5,CS5
SLC7A1,CS4,CS4
INPP4B,CS5,CS5
CRLF3,CS4,CS4
NKAPD1,CS2,CS2
TLCD4,CS4,CS4
TTMP,,
ZNF573,CS5,CS5
KCT2,,
ATP6V0A2,CS4,CS4
HECTD2,CS5,CS5
OCC1,,
AHI1,CS6,CS6
IQSEC2,CS5,CS5
ZNF562,CS6,CS6
TULP4,CS5,CS5
FOXC1,CS6,CS6
ZFAND1,CS5,CS5
PNPO,CS5,CS5
PWWP3A,CS6,CS6
CHPT1,CS5,CS5
TMEM101,CS5,CS5
AP1AR,CS5,CS5
SYT15,CS2,CS2
PUM1,CS2,CS2
MLEC,CS5,CS5
GPR3,CS5,CS5
AGMAT,CS5,CS5
ZNF529,CS4,CS4
PDXK,CS5,CS5
ZNF800,CS6,CS6
GALNT1,CS5,CS5
CIPC,CS6,CS6
MICB,CS3,CS3
TCIM,CS6,CS6
PRRC1,CS6,CS6
RNF141,CS5,CS5
UBL3,CS6,CS6
SLC48A1,CS4,CS4
RNF212,CS6,CS6
TASOR,CS6,CS6
ALDH1A3,CS6,CS6
TMEM127,CS3,CS3
AUNIP,CS6,CS6
THOC6,CS2,CS2
HEATR5B,CS4,CS4
KRCC1,CS4,CS4
HACD2,CS5,CS5
B3GLCT,CS5,CS5
FAM102B,CS4,CS4
TMEM209,CS5,CS5
ZNF561,CS6,CS6
DEPDC1,CS3,CS3
ZNF543,CS7,CS7
KIF21A,CS5,CS5
ZNF664,CS6,CS6
SLC25A44,CS5,CS5
HEATR3,CS3,CS3
SPIN3,CS6,CS6
WDFY1,CS6,CS6
LCLAT1,CS7,CS7
CDR2L,CS6,CS6
TRAM2,CS5,CS5
CDKAL1,CS4,CS4
C1orf198,CS6,CS6
SMIM7,CS2,CS2
MIR1915HG,CS5,CS5
LDLRAD3,CS6,CS6
SLC43A2,CS6,CS6
ARSB,CS4,CS4
LZTFL1,CS4,CS4
LEPROT,CS4,CS4
TMEM167B,CS4,CS4
CCDC58,,
CEP57,CS5,CS5
FKBP9,CS4,CS4
SEPTIN11,,
MEX3D,CS6,CS6
SMIM11A,,
MTAP,CS6,CS6
MSMO1,CS7,CS7
FOXJ2,CS5,CS5
NFIA,CS4,CS4
TMEM97,CS2,CS2
DOLPP1,CS4,CS4
PDZD8,CS5,CS5
PLD6,CS5,CS5
PTBP3,CS5,CS5
ARHGEF35,,
R3HDM2,CS6,CS6
TMEM63B,CS5,CS5
TMEM30A,CS4,CS4
SLC41A1,CS6,CS6
MOSPD2,CS7,CS7
MACIR,CS4,CS4
CASC3,CS2,CS2
CTIF,CS6,CS6
KIAA0895,CS6,CS6
CPOX,CS2,CS2
SLC9A6,CS7,CS7
ZCCHC3,CS7,CS7
S100PBP,CS5,CS5
TRMT13,CS7,CS7
SETD9,CS5,CS5
PUS7,CS5,CS5
PDSS2,CS5,CS5
FAAP20,CS1,CS1
C1QL1,CS5,CS5
NRIP3,CS5,CS5
BASP1,CS8,CS8
FAM117B,CS5,CS5
ADAMTSL5,CS3,CS3
TMEM207,CS7,CS7
GBE1,CS5,CS5
DMKN,CS4,CS4
ZNF77,CS6,CS6
TIMM22,CS2,CS2
SEC14L4,CS5,CS5
TCTN2,CS5,CS5
PCSK7,CS5,CS5
PSME3IP1,CS4,CS4
RBM47,CS6,CS6
TMEM134,CS4,CS4
OR6T1,,
TTC5,CS3,CS3
GOLPH3L,CS4,CS4
SUSD6,CS7,CS7
GNE,CS4,CS4
CXCL16,CS6,CS6
RABL2B,CS4,CS4
FAM217B,CS6,CS6
COQ10B,CS4,CS4
PDCL3,CS1,CS1
ADAM23,CS5,CS5
LDHAL6A,CS6,CS6
NSUN6,CS6,CS6
HECA,CS6,CS6
TSPAN9,CS6,CS6
DRAM2,CS5,CS5
SPPL3,CS6,CS6
PRRC2C,CS3,CS3
GLTP,CS3,CS3
TMED4,CS5,CS5
LIMCH1,CS6,CS6
BTF3L4,CS1,CS1
TBCB,CS0,CS0
SFXN3,CS6,CS6
ACACB,CS4,CS4
DPY19L4,CS3,CS3
TM9SF4,CS3,CS3
ELOVL5,CS6,CS6
NETO2,CS5,CS5
RBMX2,CS0,CS0
PAQR7,CS5,CS5
ACER3,CS7,CS7
CCNJ,CS4,CS4
LRRC37B,CS2,CS2
PANK1,CS5,CS5
SPIN4,CS6,CS6
EFR3A,CS1,CS1
SLC10A3,CS7,CS7
MMD,CS4,CS4
PTDSS1,CS4,CS4
C16orf72,CS1,CS1
MEX3C,CS6,CS6
ZDHHC14,CS5,CS5
MIGA1,CS5,CS5
CCDC28A,CS5,CS5
MFSD14B,CS5,CS5
PANK3,CS4,CS4
KIAA2013,CS3,CS3
ZFP91-CNTF,,
ABCB10,CS3,CS3
GOLIM4,CS5,CS5
ZXDB,CS7,CS7
TUT4,CS6,CS6
ADIPOR1,CS6,CS6
RHNO1,CS5,CS5
NPTX1,CS6,CS6
CCDC25,CS5,CS5
SKIDA1,CS6,CS6
AGPAT1,CS4,CS4
FAM104B,CS2,CS2
AFMID,CS5,CS5
CPD,CS3,CS3
EFCAB14,CS4,CS4
GAS2L3,CS6,CS6
MTURN,CS5,CS5
KDSR,CS6,CS6
LTO1,CS0,CS0
PM20D2,CS5,CS5
B4GALT5,CS4,CS4
SZRD1,CS4,CS4
MBNL2,CS6,CS6
SLC25A23,CS5,CS5
AKIRIN1,CS2,CS2
CTDSPL2,CS4,CS4
SMIM14,CS7,CS7
ZNF623,CS5,CS5
SLC18B1,CS5,CS5
LINS1,CS6,CS6
TRIM45,CS3,CS3
MXRA7,CS2,CS2
ZSWIM1,CS6,CS6
ICE2,CS1,CS1
GK5,CS6,CS6
XXYLT1,CS4,CS4
DCUN1D3,CS6,CS6
C6orf62,CS7,CS7
AK3,CS6,CS6
SNX16,CS5,CS5
NAPB,CS7,CS7
SLC20A1,CS3,CS3
DZANK1,CS6,CS6
C9orf72,CS6,CS6
SLC38A6,CS5,CS5
ZBTB41,CS5,CS5
CGGBP1,CS4,CS4
XPR1,CS4,CS4
WDR55,CS0,CS0
SELENON,CS4,CS4
NEMP1,CS6,CS6
CNOT11,CS3,CS3
PCMTD1,CS4,CS4
ZNF264,CS6,CS6
ZNF362,CS6,CS6
TM7SF3,CS6,CS6
CHST3,CS6,CS6
SPRR1A,CS4,CS4
LITAF,CS5,CS5
RETREG3,CS4,CS4
FAM160B1,,
ZBTB39,CS3,CS3
TMEM41B,CS2,CS2
C5orf51,CS5,CS5
PLCXD1,CS7,CS7
MYADM,CS4,CS4
RPRD1A,CS6,CS6
SLC30A5,CS4,CS4
NDRG3,CS4,CS4
CPM,CS3,CS3
ANO6,CS5,CS5
MGST3,CS6,CS6
ABCG1,CS4,CS4
PIP4K2C,CS4,CS4
SLC35E2A,,
MFSD14A,CS4,CS4
PXDC1,CS7,CS7
YPEL5,CS1,CS1
SLC25A32,CS6,CS6
EPB41L4B,CS6,CS6
ANKRD46,CS5,CS5
TM2D1,CS3,CS3
BIVM,CS6,CS6
SLC16A5,CS3,CS3
CNN2,CS1,CS1
VKORC1L1,CS3,CS3
IFI6,CS6,CS6
FAM20B,CS4,CS4
FAM76A,CS5,CS5
SGPP1,CS3,CS3
FLYWCH2,CS5,CS5
AGPAT5,CS7,CS7
PDE7B,CS5,CS5
ZCRB1,CS1,CS1
GRAMD2B,CS3,CS3
ZNF556,CS5,CS5
LARP1B,CS5,CS5
NAT16,CS6,CS6
RASSF3,CS6,CS6
KLHL25,CS5,CS5
COL11A1,CS5,CS5
NACC1,CS5,CS5
SUGP1,CS1,CS1
NRIP2,CS6,CS6
SEC31B,CS5,CS5
DGKG,CS6,CS6
LRP1B,CS4,CS4
H2BC17,CS2,CS2
CNGA3,CS4,CS4
CPA1,CS6,CS6
DNAH3,CS5,CS5
HSPA7,,
USP24,CS3,CS3
CSNK1A1L,CS5,CS5
CLTB,CS4,CS4
IGKV1-5,,
BOLA2B,,
LRP11,CS7,CS7
BSN,CS3,CS3
NGLY1,CS4,CS4
MORC3,CS4,CS4
SPRTN,CS1,CS1
PDE3B,CS5,CS5
UTP20,CS0,CS0
H2BC11,CS0,CS0
MYH14,CS4,CS4
SMCHD1,CS4,CS4
FAM120A,CS4,CS4
NOL11,CS1,CS1
WDR46,CS0,CS0
NIFK,CS0,CS0
AHCTF1,CS0,CS0
NOP14,CS1,CS1
URB2,CS1,CS1
WDR43,CS0,CS0
ZNF512,CS4,CS4
THOC2,CS0,CS0
ZSWIM8,CS3,CS3
RPS15,CS0,CS0
PHF3,CS5,CS5
DDX31,CS5,CS5
TPP2,CS5,CS5
OASL,CS5,CS5
UTP4,CS0,CS0
UTP15,CS0,CS0
CHD2,CS4,CS4
NOL10,CS0,CS0
RRP1,CS1,CS1
ESF1,CS0,CS0
NSA2,CS0,CS0
NOL9,CS0,CS0
RBM6,CS4,CS4
ATAD2B,CS6,CS6
PREP,CS5,CS5
IARS2,CS0,CS0
CLUH,CS5,CS5
RNPEP,CS4,CS4
DDX51,CS1,CS1
TUT7,CS5,CS5
SURF6,CS1,CS1
CREB3L3,CS6,CS6
RGCC,CS4,CS4
ACOX1,CS4,CS4
CLEC7A,CS7,CS7
PSMB8,CS7,CS7
PSMB9,CS6,CS6
ANGPTL4,CS5,CS5
C1orf109,CS0,CS0
SERPINA10,CS7,CS7
C19orf47,CS4,CS4
ZNF326,CS5,CS5
MYO18B,CS4,CS4
ATP6V0D2,CS5,CS5
PLAA,CS4,CS4
FGF23,CS6,CS6
DOCK3,CS5,CS5
MIA2,CS5,CS5
SNX30,CS6,CS6
SPATA13,CS4,CS4
ZDHHC6,CS6,CS6
CLEC17A,CS5,CS5
DOK3,CS5,CS5
SH3PXD2B,CS6,CS6
PHLDB1,CS6,CS6
SYDE1,CS5,CS5
GAS2L1,CS6,CS6
MAP7D3,CS5,CS5
SEPTIN10,,
CARMIL1,CS5,CS5
PALMD,CS5,CS5
KIAA1522,CS5,CS5
LEMD2,CS1,CS1
CASKIN2,CS5,CS5
ID4,CS5,CS5
BHLHA15,CS3,CS3
TCF24,CS6,CS6
ATOH8,CS4,CS4
SETSIP,,
NHLH2,CS4,CS4
COX7A2,CS5,CS5
TFF3,CS5,CS5
FLG2,CS5,CS5
ARAP3,CS5,CS5
CYGB,CS5,CS5
DPF3,CS6,CS6
DPF1,CS5,CS5
SNX33,CS6,CS6
SGIP1,CS4,CS4
ZBTB7C,CS6,CS6
PCGF3,CS6,CS6
AUTS2,CS6,CS6
FBRS,,
FBRSL1,CS5,CS5
PCGF5,CS5,CS5
MT-ND6,,
SUN1,CS7,CS7
AOPEP,CS6,CS6
TRIML1,CS6,CS6
PHF2,CS4,CS4
SEC23IP,CS4,CS4
ASZ1,CS4,CS4
VPS37D,CS5,CS5
CNTLN,CS5,CS5
FKBP15,CS5,CS5
GBP1,CS5,CS5
MYH7B,CS4,CS4
RLN3,CS4,CS4
RXFP1,CS5,CS5
ATCAY,CS5,CS5
FAM8A1,CS5,CS5
TYR,CS6,CS6
RNF169,CS4,CS4
ACSF3,CS7,CS7
ANKRD27,CS5,CS5
F8A2,,
RWDD3,CS5,CS5
TRIM50,CS6,CS6
GABRA2,CS6,CS6
GABRA3,CS7,CS7
GABRA6,CS6,CS6
GABRB1,CS5,CS5
RASSF6,CS6,CS6
MEI1,CS7,CS7
TNRC6C,CS5,CS5
POLD4,CS4,CS4
GINS4,CS0,CS0
GINS3,CS0,CS0
GINS1,CS0,CS0
GINS2,CS0,CS0
PTCRA,CS5,CS5
GALNT2,CS6,CS6
UBAP1,CS1,CS1
MAFIP,,
FAM174A,CS6,CS6
RABEP2,CS4,CS4
TBC1D3,,
FCER1A,CS5,CS5
CBLIF,CS6,CS6
TCN1,CS4,CS4
TCN2,CS5,CS5
GJB6,CS5,CS5
GJB3,CS3,CS3
GJC1,CS6,CS6
MOB2,CS6,CS6
ZFP1,CS7,CS7
MOB1B,CS5,CS5
MOB3C,CS5,CS5
RHBDL3,CS4,CS4
ATP8A2,CS5,CS5
AAAS,CS3,CS3
FAM120C,CS6,CS6
MYOF,CS7,CS7
LGMN,CS7,CS7
LMAN2,CS5,CS5
DEPDC7,CS5,CS5
PLS1,CS5,CS5
QTRT2,CS5,CS5
LAPTM4B,CS6,CS6
FBXO25,CS5,CS5
GTF2IRD2,,
CXXC4,CS5,CS5
C1RL,CS6,CS6
TBC1D8,CS3,CS3
CC2D1B,CS3,CS3
RIMS4,CS6,CS6
CACNG4,CS6,CS6
LRRC4,CS6,CS6
C2orf50,CS6,CS6
DSEL,CS6,CS6
KCNIP1,CS7,CS7
PEMT,CS6,CS6
TMEM168,CS7,CS7
ZNF804A,CS5,CS5
ATP1A2,CS5,CS5
TTC9C,CS3,CS3
IFNE,CS6,CS6
WDFY3,CS4,CS4
DDX4,CS5,CS5
FBXO46,CS6,CS6
FBXL8,CS5,CS5
FBXL15,CS5,CS5
RAB40B,CS5,CS5
HTR7,CS4,CS4
QSOX1,CS4,CS4
NEURL3,,
CLN6,CS4,CS4
SOCS4,CS4,CS4
ZP3,CS4,CS4
TBC1D9,CS4,CS4
TBC1D9B,CS5,CS5
TBC1D2,CS6,CS6
TBC1D10B,CS3,CS3
TBC1D16,CS5,CS5
VPS26B,CS5,CS5
WASHC2A,,
SHFL,CS4,CS4
PEPD,CS6,CS6
ACAT2,CS7,CS7
RBMY1A1,,
SOAT1,CS5,CS5
JSRP1,CS4,CS4
CUSTOS,,
HGD,CS6,CS6
KLHDC4,CS4,CS4
CEP85,CS1,CS1
SIRPD,CS6,CS6
GSS,CS6,CS6
CORO1B,CS4,CS4
EPHX2,CS6,CS6
CRYBB1,CS6,CS6
PNMT,CS4,CS4
AKR1A1,CS5,CS5
NUDT14,CS6,CS6
ARPP21,CS6,CS6
BCL7B,CS5,CS5
GAMT,CS6,CS6
HNMT,CS5,CS5
OCM2,CS5,CS5
ACOT7,CS7,CS7
BIN2,CS4,CS4
CCDC9,CS2,CS2
PCP4,CS6,CS6
ZNF790,CS5,CS5
SULT1C2,CS5,CS5
PGM2,CS6,CS6
NUDCD2,CS4,CS4
PAGE2,,
TMSB10,,
NXNL1,CS5,CS5
AFAP1L2,CS6,CS6
MT3,CS5,CS5
TBCA,CS1,CS1
SCLY,CS4,CS4
HDGFL3,CS5,CS5
ZNF414,CS4,CS4
HMGB3,CS1,CS1
FABP2,CS4,CS4
GAGE5,,
HAGH,CS5,CS5
SCRN2,CS3,CS3
CRYGS,CS4,CS4
CCDC43,CS2,CS2
OR2H1,,
FERMT3,CS2,CS2
DHFR2,CS1,CS1
REM2,CS5,CS5
APOBEC3F,,
ANKMY2,CS3,CS3
FAM131B,CS6,CS6
LRRC25,CS7,CS7
ADPRH,CS6,CS6
RBKS,CS6,CS6
PDLIM2,CS6,CS6
GFPT2,CS4,CS4
SYAP1,CS5,CS5
PIPOX,CS5,CS5
PROSER2,CS5,CS5
GPR52,CS6,CS6
SULT4A1,CS6,CS6
HLCS,CS5,CS5
CPPED1,CS6,CS6
PALM,CS6,CS6
ALDH3A1,CS6,CS6
PHYHD1,CS5,CS5
CCM2,CS5,CS5
PAGE5,CS5,CS5
GPA33,CS5,CS5
CCDC32,CS4,CS4
MICA,CS7,CS7
SULT1B1,CS5,CS5
MAK,CS5,CS5
CDK20,CS5,CS5
ERLEC1,CS5,CS5
TGM1,CS4,CS4
FBXO33,CS4,CS4
ZER1,CS5,CS5
KCTD7,CS4,CS4
EPN3,CS4,CS4
PCMTD2,CS5,CS5
RSPO1,CS6,CS6
LGR4,CS6,CS6
USP54,CS6,CS6
CCDC57,,
ZNF483,CS5,CS5
RNF217,CS5,CS5
CTRC,CS6,CS6
CKAP2,CS3,CS3
PDE6B,CS6,CS6
PGP,CS4,CS4
ARHGAP4,CS6,CS6
DDI2,CS3,CS3
PSMG1,CS3,CS3
INKA2,CS5,CS5
CAMK2N2,CS5,CS5
EBF4,CS7,CS7
MUSTN1,CS4,CS4
PLEKHG5,CS6,CS6
RPL13A,CS0,CS0
SAPCD1,CS5,CS5
TMEM14C,CS6,CS6
ZFAND3,CS4,CS4
UBFD1,CS3,CS3
KLHL7,CS5,CS5
DHCR24,CS4,CS4
TRIM59,CS6,CS6
RIC8B,CS6,CS6
PID1,CS5,CS5
AURKAIP1,CS2,CS2
PARL,CS2,CS2
ULBP1,CS7,CS7
MARCHF4,,
MARCHF9,,
TFCP2L1,CS6,CS6
ZNF462,CS6,CS6
THYN1,CS6,CS6
IPP,CS5,CS5
KLHL17,CS6,CS6
KLHL36,CS6,CS6
KLHL11,CS2,CS2
KCTD2,CS4,CS4
KLHL28,CS6,CS6
KLHL4,CS7,CS7
LRRC42,CS5,CS5
KLHL26,CS6,CS6
KBTBD4,CS5,CS5
OFCC1,,
PGM3,CS5,CS5
KBTBD8,CS6,CS6
